act_key,avg_presence,avg_people_cnt,avg_activity,max_activity,cnt,first_eventtime,lastStatus,부재,,,
5539860,0,0,0,0,0,,,부재,,,
5539861,0,0,0,0,0,,,부재,,,
5539862,0,0,0,0,0,,,부재,,,
5539863,0,0,0,0,0,,,부재,,,
5539864,0,0,0,0,0,,,부재,,,
5539865,0,0,0,0,0,,,부재,,,
5539866,0,0,0,0,0,,,부재,,,
5539867,0,0,0,0,0,,,부재,,,
5539868,0,0,0,0,0,,,부재,,,
5539869,0,0,0,0,0,,,부재,,,
5539870,0,0,0,0,0,,,부재,,,
5539871,1,1,6.69458771,36.207,8,,,재실,,미동,
5539872,0,0,0,0,0,,,부재,,,
5539873,0,0,0,0,0,,,부재,,,
5539874,0,0,0,0,0,,,부재,,,
5539875,0,0,0,0,0,,,부재,,,
5539876,0,0,0,0,0,,,부재,,,
5539877,0,0,0,0,0,,,부재,,,
5539878,0,0,0,0,0,,,부재,,,
5539879,0,0,0,0,0,,,부재,,,
5539880,0,0,0,0,0,,,부재,,,
5539881,0,0,0,0,0,,,부재,,,
5539882,0,0,0,0,0,,,부재,,,
5539883,0,0,0,0,0,,,부재,,,
5539884,0,0,0,0,0,,,부재,,,
5539885,0,0,0,0,0,,,부재,,,
5539886,0,0,0,0,0,,,부재,,,
5539887,0,0,0,0,0,,,부재,,,
5539888,0,0,0,0,0,,,부재,,,
5539889,0,0,0,0,0,,,부재,,,
5539890,0,0,0,0,0,,,부재,,,
5539891,0,0,0,0,0,,,부재,,,
5539892,0,0,0,0,0,,,부재,,,
5539893,0,0,0,0,0,,,부재,,,
5539894,0,0,0,0,0,,,부재,,,
5539895,0,0,0,0,0,,,부재,,,
5539896,1,1,4.96892501,21.0339,8,,,재실,,미동,
5539897,0,0,0,0,0,,,부재,,,
5539898,0,0,0,0,0,,,부재,,,
5539899,0,0,0,0,0,,,부재,,,
5539900,0,0,0,0,0,,,부재,,,
5539901,0,0,0,0,0,,,부재,,,
5539902,0,0,0,0,0,,,부재,,,
5539903,0,0,0,0,0,,,부재,,,
5539904,0,0,0,0,0,,,부재,,,
5539905,0,0,0,0,0,,,부재,,,
5539906,0,0,0,0,0,,,부재,,,
5539907,0,0,0,0,0,,,부재,,,
5539908,0,0,0,0,0,,,부재,,,
5539909,0,0,0,0,0,,,부재,,,
5539910,0,0,0,0,0,,,부재,,,
5539911,1,1,1.48365004,5.9306,4,,,재실,미활동,미동,
5539912,0,0,0,0,0,,,부재,,,
5539913,1,1,8.56318239,35.153,17,,,재실,,활동,
5539914,1,1,8.03983352,18.1282,6,,,재실,,활동,
5539915,0,0,0,0,0,,,부재,,,
5539916,0,0,0,0,0,,,부재,,,
5539917,0,0,0,0,0,,,부재,,,
5539918,0,0,0,0,0,,,부재,,,
5539919,0,0,0,0,0,,,부재,,,
5539920,0,0,0,0,0,,,부재,,,
5539921,0,0,0,0,0,,,부재,,,
5539922,0,0,0,0,0,,,부재,,,
5539923,0,0,0,0,0,,,부재,,,
5539924,0,0,0,0,0,,,부재,,,
5539925,0,0,0,0,0,,,부재,,,
5539926,0,0,0,0,0,,,부재,,,
5539927,0,0,0,0,0,,,부재,,,
5539928,0,0,0,0,0,,,부재,,,
5539929,0,0,0,0,0,,,부재,,,
5539930,0,0,0,0,0,,,부재,,,
5539931,0,0,0,0,0,,,부재,,,
5539932,0,0,0,0,0,,,부재,,,
5539933,0,0,0,0,0,,,부재,,,
