deviceId,mon,label,cnt
id_MzA6QUU6QTQ6RTI6RTA6NEM,07岿 22老,caution,130
id_MzA6QUU6QTQ6RTI6RTA6NEM,07岿 22老,fall,6
id_MzA6QUU6QTQ6RTI6RTA6NEM,08岿 22老,caution,94
id_MzA6QUU6QTQ6RTI6RTA6NEM,08岿 22老,fall,3
id_MzA6QUU6QTQ6RTI6RTA6NEM,09岿 22老,caution,31
id_MzA6QUU6QTQ6RTM6OTc6RjQ,07岿 22老,caution,4
id_MzA6QUU6QTQ6RTM6OTc6RjQ,08岿 22老,caution,3
id_MzA6QUU6QTQ6RTM6OTc6RjQ,09岿 22老,caution,18
id_MzA6QUU6QTQ6RTM6RTA6M0M,07岿 22老,caution,1375
id_MzA6QUU6QTQ6RTM6RTA6M0M,07岿 22老,fall,21
id_MzA6QUU6QTQ6RTM6RTA6M0M,08岿 22老,caution,498
id_MzA6QUU6QTQ6RTM6RTA6M0M,08岿 22老,fall,16
id_MzA6QUU6QTQ6RTM6RTA6M0M,09岿 22老,caution,344
id_MzA6QUU6QTQ6RTM6RTA6M0M,09岿 22老,fall,2
id_MzA6QUU6QTQ6RTM6RTA6MzA,07岿 22老,caution,46
id_MzA6QUU6QTQ6RTM6RTA6MzA,08岿 22老,caution,9
id_MzA6QUU6QTQ6RTM6RTA6MzA,09岿 22老,caution,23
id_MzA6QUU6QTQ6RTM6RTk6RTQ,07岿 22老,caution,2173
id_MzA6QUU6QTQ6RTM6RTk6RTQ,07岿 22老,fall,87
id_MzA6QUU6QTQ6RTM6RTk6RTQ,08岿 22老,caution,2721
id_MzA6QUU6QTQ6RTM6RTk6RTQ,08岿 22老,fall,32
id_MzQ6QUI6OTU6NzE6OTc6RDQ,07岿 22老,caution,7
id_MzQ6QUI6OTU6NzE6OTc6RDQ,08岿 22老,caution,22
id_MzQ6QUI6OTU6NzE6OTc6RDQ,09岿 22老,caution,13
id_MzQ6QUI6OTU6NzE6OTg6QzA,07岿 22老,caution,418
id_MzQ6QUI6OTU6NzE6OTg6QzA,07岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OTg6QzA,08岿 22老,caution,345
id_MzQ6QUI6OTU6NzE6OTg6QzA,08岿 22老,fall,4
id_MzQ6QUI6OTU6NzE6OTg6QzA,09岿 22老,caution,244
id_MzQ6QUI6OTU6NzE6OTg6QzA,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OTk6MDg,07岿 22老,caution,507
id_MzQ6QUI6OTU6NzE6OTk6MDg,07岿 22老,fall,25
id_MzQ6QUI6OTU6NzE6OTk6MDg,08岿 22老,caution,237
id_MzQ6QUI6OTU6NzE6OTk6MDg,08岿 22老,fall,13
id_MzQ6QUI6OTU6NzE6OTk6MDg,09岿 22老,caution,48
id_MzQ6QUI6OTU6NzE6OTk6MDg,09岿 22老,fall,3
id_MzQ6QUI6OTU6NzE6OTU6NzA,07岿 22老,caution,21
id_MzQ6QUI6OTU6NzE6OTU6NzA,08岿 22老,caution,69
id_MzQ6QUI6OTU6NzE6OTU6NzA,08岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OTU6NzA,09岿 22老,caution,45
id_MzQ6QUI6OTU6NzE6OTU6NzA,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OTU6QjA,07岿 22老,caution,229
id_MzQ6QUI6OTU6NzE6OTU6QjA,07岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OTU6QjA,08岿 22老,caution,385
id_MzQ6QUI6OTU6NzE6OTU6QjA,08岿 22老,fall,12
id_MzQ6QUI6OTU6NzE6OTU6QjA,09岿 22老,caution,882
id_MzQ6QUI6OTU6NzE6OTU6QjA,09岿 22老,fall,28
id_MzQ6QUI6OTU6NzE6OTU6Rjg,07岿 22老,caution,93
id_MzQ6QUI6OTU6NzE6OTU6Rjg,08岿 22老,caution,48
id_MzQ6QUI6OTU6NzE6OTU6Rjg,09岿 22老,caution,96
id_MzQ6QUI6OTU6NzE6OTU6Rjg,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OTY6NkM,07岿 22老,caution,113
id_MzQ6QUI6OTU6NzE6OTY6NkM,07岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6OTY6NkM,08岿 22老,caution,4023
id_MzQ6QUI6OTU6NzE6OTY6NkM,08岿 22老,fall,82
id_MzQ6QUI6OTU6NzE6OTY6NkM,09岿 22老,caution,2805
id_MzQ6QUI6OTU6NzE6OTY6NkM,09岿 22老,fall,21
id_MzQ6QUI6OTU6NzE6OTY6Q0M,07岿 22老,caution,328
id_MzQ6QUI6OTU6NzE6OTY6Q0M,08岿 22老,caution,212
id_MzQ6QUI6OTU6NzE6OTY6Q0M,09岿 22老,caution,426
id_MzQ6QUI6OTU6NzE6OTY6Qzg,07岿 22老,caution,34
id_MzQ6QUI6OTU6NzE6OTY6Qzg,07岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OTY6Qzg,08岿 22老,caution,35
id_MzQ6QUI6OTU6NzE6OTY6Qzg,09岿 22老,caution,1
id_MzQ6QUI6OTU6NzE6OUI6MTA,07岿 22老,caution,29
id_MzQ6QUI6OTU6NzE6OUI6MTA,08岿 22老,caution,7
id_MzQ6QUI6OTU6NzE6OUI6MTA,09岿 22老,caution,9
id_MzQ6QUI6OTU6NzE6OUI6NDg,07岿 22老,caution,23
id_MzQ6QUI6OTU6NzE6OUI6NDg,08岿 22老,caution,34
id_MzQ6QUI6OTU6NzE6OUM6NDA,07岿 22老,caution,201
id_MzQ6QUI6OTU6NzE6OUM6NDA,07岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUM6NDA,08岿 22老,caution,149
id_MzQ6QUI6OTU6NzE6OUM6NDA,09岿 22老,caution,120
id_MzQ6QUI6OTU6NzE6OUM6NDA,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUM6OUM,07岿 22老,caution,165
id_MzQ6QUI6OTU6NzE6OUM6OUM,07岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6OUM6OUM,08岿 22老,caution,425
id_MzQ6QUI6OTU6NzE6OUM6OUM,08岿 22老,fall,5
id_MzQ6QUI6OTU6NzE6OUM6OUM,09岿 22老,caution,468
id_MzQ6QUI6OTU6NzE6OUM6OUM,09岿 22老,fall,4
id_MzQ6QUI6OTU6NzE6OUM6Qzg,07岿 22老,caution,84
