"act_key","avg_presence","avg_people_cnt","avg_activity","max_activity","cnt"
"5539860","0","0.0000","0","0","0"
"5539861","0","0.0000","0","0","0"
"5539862","0","0.0000","0","0","0"
"5539863","0","0.0000","0","0","0"
"5539864","0","0.0000","0","0","0"
"5539865","0","0.0000","0","0","0"
"5539866","0","0.0000","0","0","0"
"5539867","0","0.0000","0","0","0"
"5539868","0","0.0000","0","0","0"
"5539869","0","0.0000","0","0","0"
"5539870","0","0.0000","0","0","0"
"5539871","1","1.0000","6.69458771","36.207","8"
"5539872","0","0.0000","0","0","0"
"5539873","0","0.0000","0","0","0"
"5539874","0","0.0000","0","0","0"
"5539875","0","0.0000","0","0","0"
"5539876","0","0.0000","0","0","0"
"5539877","0","0.0000","0","0","0"
"5539878","0","0.0000","0","0","0"
"5539879","0","0.0000","0","0","0"
"5539880","0","0.0000","0","0","0"
"5539881","0","0.0000","0","0","0"
"5539882","0","0.0000","0","0","0"
"5539883","0","0.0000","0","0","0"
"5539884","0","0.0000","0","0","0"
"5539885","0","0.0000","0","0","0"
"5539886","0","0.0000","0","0","0"
"5539887","0","0.0000","0","0","0"
"5539888","0","0.0000","0","0","0"
"5539889","0","0.0000","0","0","0"
"5539890","0","0.0000","0","0","0"
"5539891","0","0.0000","0","0","0"
"5539892","0","0.0000","0","0","0"
"5539893","0","0.0000","0","0","0"
"5539894","0","0.0000","0","0","0"
"5539895","0","0.0000","0","0","0"
"5539896","1","1.0000","4.9689250099999995","21.0339","8"
"5539897","0","0.0000","0","0","0"
"5539898","0","0.0000","0","0","0"
"5539899","0","0.0000","0","0","0"
"5539900","0","0.0000","0","0","0"
"5539901","0","0.0000","0","0","0"
"5539902","0","0.0000","0","0","0"
"5539903","0","0.0000","0","0","0"
"5539904","0","0.0000","0","0","0"
"5539905","0","0.0000","0","0","0"
"5539906","0","0.0000","0","0","0"
"5539907","0","0.0000","0","0","0"
"5539908","0","0.0000","0","0","0"
"5539909","0","0.0000","0","0","0"
"5539910","0","0.0000","0","0","0"
"5539911","1","1.0000","1.4836500400000001","5.9306","4"
"5539912","0","0.0000","0","0","0"
"5539913","1","1.0000","8.56318239","35.153","17"
"5539914","1","1.0000","8.03983352","18.1282","6"
"5539915","0","0.0000","0","0","0"
"5539916","0","0.0000","0","0","0"
"5539917","0","0.0000","0","0","0"
"5539918","0","0.0000","0","0","0"
"5539919","0","0.0000","0","0","0"
"5539920","0","0.0000","0","0","0"
"5539921","0","0.0000","0","0","0"
"5539922","0","0.0000","0","0","0"
"5539923","0","0.0000","0","0","0"
"5539924","0","0.0000","0","0","0"
"5539925","0","0.0000","0","0","0"
"5539926","0","0.0000","0","0","0"
"5539927","0","0.0000","0","0","0"
"5539928","0","0.0000","0","0","0"
"5539929","0","0.0000","0","0","0"
"5539930","0","0.0000","0","0","0"
"5539931","0","0.0000","0","0","0"
"5539932","0","0.0000","0","0","0"
"5539933","0","0.0000","0","0","0"
"5539934","0","0.0000","0","0","0"
"5539935","0","0.0000","0","0","0"
"5539936","0","0.0000","0","0","0"
"5539937","0","0.0000","0","0","0"
"5539938","0","0.0000","0","0","0"
"5539939","0","0.0000","0","0","0"
"5539940","0","0.0000","0","0","0"
"5539941","0","0.0000","0","0","0"
"5539942","0","0.0000","0","0","0"
"5539943","0","0.0000","0","0","0"
"5539944","0","0.0000","0","0","0"
"5539945","1","1.0000","5.18171658","32.2318","24"
"5539946","0","0.0000","0","0","0"
"5539947","0","0.0000","0","0","0"
"5539948","0","0.0000","0","0","0"
"5539949","0","0.0000","0","0","0"
"5539950","1","1.0000","0.01324444","0.1192","9"
"5539951","0","0.0000","0","0","0"
"5539952","0","0.0000","0","0","0"
"5539953","0","0.0000","0","0","0"
"5539954","0","0.0000","0","0","0"
"5539955","0","0.0000","0","0","0"
"5539956","0","0.0000","0","0","0"
"5539957","1","1.0000","0","0","1"
"5539958","0","0.0000","0","0","0"
"5539959","0","0.0000","0","0","0"
"5539960","0","0.0000","0","0","0"
"5539961","0","0.0000","0","0","0"
"5539962","0","0.0000","0","0","0"
"5539963","0","0.0000","0","0","0"
"5539964","0","0.0000","0","0","0"
"5539965","1","1.0000","9.94858782","38.0726","8"
"5539966","0","0.0000","0","0","0"
"5539967","1","1.0000","2.07738892","18.4419","9"
"5539968","0","0.0000","0","0","0"
"5539969","1","1.0000","9.54927633","35.7832","17"
"5539970","0","0.0000","0","0","0"
"5539971","0","0.0000","0","0","0"
"5539972","1","1.0000","0.28169999","0.2817","1"
"5539973","1","1.0000","7.33135992","18.1596","5"
"5539974","1","2.0000","11.57881068","43.5648","19"
"5539975","1","1.0000","9.57149989","21.5644","7"
"5539976","1","1.0000","7.28839972","20.3814","3"
"5539977","1","1.0000","7.73095835","25.8586","12"
"5539978","1","1.0000","6.36615877","19.0493","17"
"5539979","1","1.0000","21.47060818","72.2844","12"
"5539980","0","0.0000","0","0","0"
"5539981","1","1.0000","1.6706085800000001","16.9402","35"
"5539982","1","1.0000","14.41882883","35.6254","7"
"5539983","1","1.0000","3.65481426","21.997700000000002","7"
"5539984","0","0.0000","0","0","0"
"5539985","0","0.0000","0","0","0"
"5539986","0","0.0000","0","0","0"
"5539987","1","1.0000","1.31163159","16.867","38"
"5539988","0","0.0000","0","0","0"
"5539989","0","0.0000","0","0","0"
"5539990","1","1.0000","2.6136282","14.033","39"
"5539991","1","1.0000","0","0","6"
"5539992","1","1.0000","3.01035331","20.3839","15"
"5539993","0","0.0000","0","0","0"
"5539994","0","0.0000","0","0","0"
"5539995","0","0.0000","0","0","0"
"5539996","0","0.0000","0","0","0"
"5539997","0","0.0000","0","0","0"
"5539998","0","0.0000","0","0","0"
"5539999","0","0.0000","0","0","0"
"5540000","1","1.0000","2.06970001","12.161","38"
"5540001","0","0.0000","0","0","0"
"5540002","0","0.0000","0","0","0"
"5540003","0","0.0000","0","0","0"
"5540004","0","0.0000","0","0","0"
"5540005","0","0.0000","0","0","0"
"5540006","0","0.0000","0","0","0"
"5540007","0","0.0000","0","0","0"
"5540008","0","0.0000","0","0","0"
"5540009","1","1.0000","1.13755717","7.9629","7"
"5540010","1","1.0000","1.40138841","30.6195","95"
"5540011","1","1.0000","0.26451938","13.1697","98"
"5540012","1","1.0000","1.42848144","29.7277","97"
"5540013","0","0.0000","0","0","0"
"5540014","1","1.0000","0","0","6"
"5540015","1","1.0000","0.1060379","6.6789","124"
"5540016","1","1.0000","0.74017501","8.2375","12"
"5540017","1","1.0000","0","0","2"
"5540018","0","0.0000","0","0","0"
"5540019","0","0.0000","0","0","0"
"5540020","0","0.0000","0","0","0"
"5540021","0","0.0000","0","0","0"
"5540022","0","0.0000","0","0","0"
"5540023","0","0.0000","0","0","0"
"5540024","0","0.0000","0","0","0"
"5540025","0","0.0000","0","0","0"
"5540026","1","1.0000","0.73474268","30.5686","82"
"5540027","1","1.0000","0.57649612","29.7087","103"
"5540028","0","0.0000","0","0","0"
"5540029","0","0.0000","0","0","0"
"5540030","0","0.0000","0","0","0"
"5540031","0","0.0000","0","0","0"
"5540032","0","0.0000","0","0","0"
"5540033","0","0.0000","0","0","0"
"5540034","0","0.0000","0","0","0"
"5540035","0","0.0000","0","0","0"
"5540036","0","0.0000","0","0","0"
"5540037","0","0.0000","0","0","0"
"5540038","0","0.0000","0","0","0"
"5540039","1","1.0000","19.0391001","61.5144","4"
"5540040","0","0.0000","0","0","0"
"5540041","0","0.0000","0","0","0"
"5540042","0","0.0000","0","0","0"
"5540043","0","0.0000","0","0","0"
"5540044","0","0.0000","0","0","0"
"5540045","0","0.0000","0","0","0"
"5540046","0","0.0000","0","0","0"
"5540047","0","0.0000","0","0","0"
"5540048","0","0.0000","0","0","0"
"5540049","0","0.0000","0","0","0"
"5540050","0","0.0000","0","0","0"
"5540051","0","0.0000","0","0","0"
"5540052","1","1.0000","0.0049","0.0049","1"
"5540053","0","0.0000","0","0","0"
"5540054","0","0.0000","0","0","0"
"5540055","0","0.0000","0","0","0"
"5540056","0","0.0000","0","0","0"
"5540057","0","0.0000","0","0","0"
"5540058","1","2.0000","7.24143042","32.1136","46"
"5540059","0","0.0000","0","0","0"
"5540060","0","0.0000","0","0","0"
"5540061","0","0.0000","0","0","0"
"5540062","0","0.0000","0","0","0"
"5540063","0","0.0000","0","0","0"
"5540064","0","0.0000","0","0","0"
"5540065","0","0.0000","0","0","0"
"5540066","0","0.0000","0","0","0"
"5540067","0","0.0000","0","0","0"
"5540068","0","0.0000","0","0","0"
"5540069","0","0.0000","0","0","0"
"5540070","0","0.0000","0","0","0"
"5540071","0","0.0000","0","0","0"
"5540072","0","0.0000","0","0","0"
"5540073","0","0.0000","0","0","0"
"5540074","0","0.0000","0","0","0"
"5540075","0","0.0000","0","0","0"
"5540076","0","0.0000","0","0","0"
"5540077","0","0.0000","0","0","0"
"5540078","0","0.0000","0","0","0"
"5540079","0","0.0000","0","0","0"
"5540080","0","0.0000","0","0","0"
"5540081","0","0.0000","0","0","0"
"5540082","0","0.0000","0","0","0"
"5540083","0","0.0000","0","0","0"
"5540084","0","0.0000","0","0","0"
"5540085","0","0.0000","0","0","0"
"5540086","0","0.0000","0","0","0"
"5540087","0","0.0000","0","0","0"
"5540088","1","2.0000","5.56163083","24.8006","13"
"5540089","0","0.0000","0","0","0"
"5540090","1","2.0000","5.92987728","34.4119","22"
"5540091","0","0.0000","0","0","0"
"5540092","0","0.0000","0","0","0"
"5540093","0","0.0000","0","0","0"
"5540094","0","0.0000","0","0","0"
"5540095","0","0.0000","0","0","0"
"5540096","0","0.0000","0","0","0"
"5540097","0","0.0000","0","0","0"
"5540098","0","0.0000","0","0","0"
"5540099","0","0.0000","0","0","0"
"5540100","0","0.0000","0","0","0"
"5540101","0","0.0000","0","0","0"
"5540102","0","0.0000","0","0","0"
"5540103","0","0.0000","0","0","0"
"5540104","0","0.0000","0","0","0"
"5540105","0","0.0000","0","0","0"
"5540106","0","0.0000","0","0","0"
