,deviceId,act_label,act_cnt_x,act_cnt_y,act_cnt,new_cnt,ratio
0,#01,부재,,13,13,2793,0.646527778
1,#01,미활동,,843,843,843,0.195138889
2,#01,활동,,432,432,664,0.153703704
4,#01,주의,,20,20,20,0.00462963
5,#01,낙상,,,,0,0
6,#02,부재,,3,3,3906,0.904166667
7,#02,미활동,,175,175,175,0.040509259
8,#02,활동,,172,172,236,0.05462963
10,#02,주의,,3,3,3,0.000694444
11,#02,낙상,,,,0,0
12,#03,부재,,2,2,2827,0.654398148
13,#03,미활동,,275,275,275,0.063657407
14,#03,활동,,375,375,1042,0.241203704
16,#03,주의,,174,174,174,0.040277778
17,#03,낙상,,2,2,2,0.000462963
18,#04,부재,,9,9,1046,0.24212963
19,#04,미활동,,613,613,613,0.141898148
20,#04,활동,,1300,1300,2647,0.612731481
22,#04,주의,,14,14,14,0.003240741
23,#04,낙상,,,,0,0
24,#05,부재,,3,3,1046,0.24212963
25,#05,미활동,,650,650,650,0.150462963
26,#05,활동,,1394,1394,2606,0.603240741
28,#05,주의,,17,17,17,0.003935185
29,#05,낙상,,1,1,1,0.000231481
30,#06,부재,,1,1,1442,0.333796296
31,#06,미활동,,784,784,784,0.181481481
32,#06,활동,,1082,1082,2057,0.476157407
34,#06,주의,,36,36,36,0.008333333
35,#06,낙상,,1,1,1,0.000231481
36,#07,부재,,7,7,594,0.1375
37,#07,미활동,,429,429,429,0.099305556
38,#07,활동,,1003,1003,3297,0.763194444
40,#07,주의,,,,0,0
41,#07,낙상,,,,0,0
42,#08,부재,,11,11,1439,0.333101852
43,#08,미활동,,436,436,436,0.100925926
44,#08,활동,,639,639,2445,0.565972222
46,#08,주의,,,,0,0
47,#08,낙상,,,,0,0
48,#09,부재,,2,2,2540,0.587962963
49,#09,미활동,,386,386,386,0.089351852
50,#09,활동,,544,544,1223,0.283101852
52,#09,주의,,171,171,171,0.039583333
53,#09,낙상,,,,0,0
54,#10,부재,,17,17,2492,0.576851852
55,#10,미활동,,751,751,751,0.173842593
56,#10,활동,,704,704,1077,0.249305556
58,#10,주의,,,,0,0
59,#10,낙상,,,,0,0
60,#11,부재,,3,3,2641,0.611342593
61,#11,미활동,,708,708,708,0.163888889
62,#11,활동,,731,731,961,0.222453704
64,#11,주의,,10,10,10,0.002314815
65,#11,낙상,,,,0,0
66,#12,부재,,18,18,1637,0.378935185
67,#12,미활동,,701,701,701,0.162268519
68,#12,활동,,1266,1266,1963,0.454398148
70,#12,주의,,16,16,16,0.003703704
71,#12,낙상,,3,3,3,0.000694444
72,#13,부재,,16,16,2120,0.490740741
73,#13,미활동,,648,648,648,0.15
74,#13,활동,,952,952,1545,0.357638889
76,#13,주의,,7,7,7,0.00162037
77,#13,낙상,,,,0,0
78,#14,부재,,,,1679,0.388657407
79,#14,미활동,,408,408,408,0.094444444
80,#14,활동,,1047,1047,2181,0.504861111
82,#14,주의,,51,51,51,0.011805556
83,#14,낙상,,1,1,1,0.000231481
84,#15,부재,,5,5,1172,0.271296296
85,#15,미활동,,744,744,744,0.172222222
86,#15,활동,,1075,1075,2262,0.523611111
88,#15,주의,,138,138,138,0.031944444
89,#15,낙상,,4,4,4,0.000925926
90,#16,부재,,1,1,1327,0.307175926
91,#16,미활동,,569,569,569,0.131712963
92,#16,활동,,1532,1532,2309,0.534490741
94,#16,주의,,109,109,109,0.025231481
95,#16,낙상,,6,6,6,0.001388889
96,#17,부재,,1,1,2014,0.466203704
97,#17,미활동,,474,474,474,0.109722222
98,#17,활동,,1236,1236,1765,0.408564815
100,#17,주의,,66,66,66,0.015277778
101,#17,낙상,,1,1,1,0.000231481
102,#18,부재,,12,12,1587,0.367361111
103,#18,미활동,,1224,1224,1224,0.283333333
104,#18,활동,,1071,1071,1481,0.342824074
106,#18,주의,,26,26,26,0.006018519
107,#18,낙상,,2,2,2,0.000462963
108,#19,부재,,14,14,2173,0.503009259
109,#19,미활동,,660,660,660,0.152777778
110,#19,활동,,885,885,1412,0.326851852
112,#19,주의,,71,71,71,0.016435185
113,#19,낙상,,4,4,4,0.000925926
114,#20,부재,,2,2,1253,0.290046296
115,#20,미활동,,511,511,511,0.118287037
116,#20,활동,,1482,1482,2458,0.568981481
118,#20,주의,,98,98,98,0.022685185
119,#20,낙상,,,,0,0
120,#21,부재,,1,1,1494,0.345833333
121,#21,미활동,,523,523,523,0.121064815
122,#21,활동,,1336,1336,2194,0.50787037
124,#21,주의,,108,108,108,0.025
125,#21,낙상,,1,1,1,0.000231481
126,#22,부재,,15,15,1982,0.458796296
127,#22,미활동,,772,772,772,0.178703704
128,#22,활동,,1036,1036,1528,0.353703704
130,#22,주의,,36,36,36,0.008333333
131,#22,낙상,,2,2,2,0.000462963
132,#23,부재,,,,1376,0.318518519
133,#23,미활동,,532,532,532,0.123148148
134,#23,활동,,1270,1270,2379,0.550694444
136,#23,주의,,32,32,32,0.007407407
137,#23,낙상,,1,1,1,0.000231481
138,#24,부재,,1874,1874,1871,0.433101852
139,#24,미활동,,854,854,854,0.197685185
140,#24,활동,,957,957,1530,0.354166667
142,#24,주의,,62,62,62,0.014351852
143,#24,낙상,,3,3,3,0.000694444
144,#25,부재,,19,19,2080,0.481481481
145,#25,미활동,,655,655,655,0.15162037
146,#25,활동,,763,763,1141,0.26412037
148,#25,주의,,438,438,438,0.101388889
149,#25,낙상,,6,6,6,0.001388889
150,#26,부재,,6,6,2374,0.549537037
151,#26,미활동,,95,95,95,0.021990741
152,#26,활동,,202,202,1851,0.428472222
154,#26,주의,,,,0,0
155,#26,낙상,,,,0,0
156,#27,부재,,,,4150,0.960648148
157,#27,미활동,,80,80,80,0.018518519
158,#27,활동,,62,62,89,0.020601852
160,#27,주의,,1,1,1,0.000231481
161,#27,낙상,,,,0,0
162,#28,부재,,1,1,891,0.20625
163,#28,미활동,,456,456,456,0.105555556
164,#28,활동,,1554,1554,2918,0.675462963
166,#28,주의,,55,55,55,0.012731481
167,#28,낙상,,,,0,0
168,#29,부재,,2,2,1435,0.332175926
169,#29,미활동,,671,671,671,0.155324074
170,#29,활동,,1164,1164,2153,0.49837963
172,#29,주의,,60,60,60,0.013888889
173,#29,낙상,,1,1,1,0.000231481
