deviceId,act_label,act_cnt
id_MzA6QUU6QTQ6RTI6RTA6NEM,0,13
id_MzA6QUU6QTQ6RTI6RTA6NEM,1,843
id_MzA6QUU6QTQ6RTI6RTA6NEM,2,432
id_MzA6QUU6QTQ6RTI6RTA6NEM,3,232
id_MzA6QUU6QTQ6RTI6RTA6NEM,4,20
,,
id_MzA6QUU6QTQ6RTM6OTc6RjQ,0,3
id_MzA6QUU6QTQ6RTM6OTc6RjQ,1,175
id_MzA6QUU6QTQ6RTM6OTc6RjQ,2,172
id_MzA6QUU6QTQ6RTM6OTc6RjQ,3,64
id_MzA6QUU6QTQ6RTM6OTc6RjQ,4,3
,,
id_MzA6QUU6QTQ6RTM6RTA6M0M,0,2
id_MzA6QUU6QTQ6RTM6RTA6M0M,1,275
id_MzA6QUU6QTQ6RTM6RTA6M0M,2,375
id_MzA6QUU6QTQ6RTM6RTA6M0M,3,667
id_MzA6QUU6QTQ6RTM6RTA6M0M,4,174
id_MzA6QUU6QTQ6RTM6RTA6M0M,5,2
id_MzA6QUU6QTQ6RTM6RTA6MzA,0,9
id_MzA6QUU6QTQ6RTM6RTA6MzA,1,613
id_MzA6QUU6QTQ6RTM6RTA6MzA,2,1300
id_MzA6QUU6QTQ6RTM6RTA6MzA,3,1347
id_MzA6QUU6QTQ6RTM6RTA6MzA,4,14
,,
id_MzQ6QUI6OTU6NzE6OTU6NzA,0,3
id_MzQ6QUI6OTU6NzE6OTU6NzA,1,650
id_MzQ6QUI6OTU6NzE6OTU6NzA,2,1394
id_MzQ6QUI6OTU6NzE6OTU6NzA,3,1212
id_MzQ6QUI6OTU6NzE6OTU6NzA,4,17
id_MzQ6QUI6OTU6NzE6OTU6NzA,5,1
id_MzQ6QUI6OTU6NzE6OTU6Rjg,0,1
id_MzQ6QUI6OTU6NzE6OTU6Rjg,1,784
id_MzQ6QUI6OTU6NzE6OTU6Rjg,2,1082
id_MzQ6QUI6OTU6NzE6OTU6Rjg,3,975
id_MzQ6QUI6OTU6NzE6OTU6Rjg,4,36
id_MzQ6QUI6OTU6NzE6OTU6Rjg,5,1
id_MzQ6QUI6OTU6NzE6OTY6MDA,0,7
id_MzQ6QUI6OTU6NzE6OTY6MDA,1,429
id_MzQ6QUI6OTU6NzE6OTY6MDA,2,1003
id_MzQ6QUI6OTU6NzE6OTY6MDA,3,2294
,,
,,
id_MzQ6QUI6OTU6NzE6OTY6MDQ,0,11
id_MzQ6QUI6OTU6NzE6OTY6MDQ,1,436
id_MzQ6QUI6OTU6NzE6OTY6MDQ,2,639
id_MzQ6QUI6OTU6NzE6OTY6MDQ,3,1806
,,
,,
id_MzQ6QUI6OTU6NzE6OTY6Q0M,0,2
id_MzQ6QUI6OTU6NzE6OTY6Q0M,1,386
id_MzQ6QUI6OTU6NzE6OTY6Q0M,2,544
id_MzQ6QUI6OTU6NzE6OTY6Q0M,3,679
id_MzQ6QUI6OTU6NzE6OTY6Q0M,4,171
,,
id_MzQ6QUI6OTU6NzE6OTY6RTQ,0,17
id_MzQ6QUI6OTU6NzE6OTY6RTQ,1,751
id_MzQ6QUI6OTU6NzE6OTY6RTQ,2,704
id_MzQ6QUI6OTU6NzE6OTY6RTQ,3,373
,,
,,
id_MzQ6QUI6OTU6NzE6OTc6RDQ,0,3
id_MzQ6QUI6OTU6NzE6OTc6RDQ,1,708
id_MzQ6QUI6OTU6NzE6OTc6RDQ,2,731
id_MzQ6QUI6OTU6NzE6OTc6RDQ,3,230
id_MzQ6QUI6OTU6NzE6OTc6RDQ,4,10
,,
id_MzQ6QUI6OTU6NzE6OTk6MDg,0,18
id_MzQ6QUI6OTU6NzE6OTk6MDg,1,701
id_MzQ6QUI6OTU6NzE6OTk6MDg,2,1266
id_MzQ6QUI6OTU6NzE6OTk6MDg,3,697
id_MzQ6QUI6OTU6NzE6OTk6MDg,4,16
id_MzQ6QUI6OTU6NzE6OTk6MDg,5,3
id_MzQ6QUI6OTU6NzE6OUI6MTA,0,16
id_MzQ6QUI6OTU6NzE6OUI6MTA,1,648
id_MzQ6QUI6OTU6NzE6OUI6MTA,2,952
id_MzQ6QUI6OTU6NzE6OUI6MTA,3,593
id_MzQ6QUI6OTU6NzE6OUI6MTA,4,7
,,
,,
id_MzQ6QUI6OTU6NzE6OUM6NDA,1,408
