deviceId,0,1,2,3,4,5,new_0
id_MzA6QUU6QTQ6RTI6RTA6NEM,13,843,432,232,20,0,4161
id_MzA6QUU6QTQ6RTM6OTc6RjQ,3,175,172,64,3,0,4384
id_MzA6QUU6QTQ6RTM6RTA6M0M,2,275,375,667,174,2,5263
id_MzA6QUU6QTQ6RTM6RTA6MzA,9,613,1300,1347,14,0,6368
id_MzQ6QUI6OTU6NzE6OTU6NzA,3,650,1394,1212,17,1,6294
id_MzQ6QUI6OTU6NzE6OTU6Rjg,1,784,1082,975,36,1,5630
id_MzQ6QUI6OTU6NzE6OTY6MDA,7,429,1003,2294,0,0,7188
id_MzQ6QUI6OTU6NzE6OTY6MDQ,11,436,639,1806,0,0,6329
id_MzQ6QUI6OTU6NzE6OTY6Q0M,2,386,544,679,171,0,5328
id_MzQ6QUI6OTU6NzE6OTY6RTQ,17,751,704,373,0,0,4646
id_MzQ6QUI6OTU6NzE6OTc6RDQ,3,708,731,230,10,0,4583
id_MzQ6QUI6OTU6NzE6OTk6MDg,18,701,1266,697,16,3,5601
id_MzQ6QUI6OTU6NzE6OUI6MTA,16,648,952,593,7,0,5224
id_MzQ6QUI6OTU6NzE6OUM6NDA,0,408,1047,1134,51,1,6145
id_MzQ6QUI6OTU6NzE6OUM6OUM,5,744,1075,1187,138,4,5980
id_MzQ6QUI6OTU6NzE6OUM6Qzg,1,569,1532,777,109,6,6175
id_MzQ6QUI6OTU6NzE6OUM6REM,1,474,1236,529,66,1,5678
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,12,1224,1071,410,26,2,4605
id_MzQ6QUI6OTU6NzE6OUQ6NEM,14,660,885,527,71,4,5147
id_MzQ6QUI6OTU6NzE6OUU6MzQ,2,511,1482,976,98,0,6365
id_MzQ6QUI6OTU6NzE6OUU6QTg,1,523,1336,858,108,1,6100
id_MzQ6QUI6OTU6NzE6OUU6RDA,15,772,1036,492,36,2,5114
id_MzQ6QUI6OTU6NzE6QTA6ODg,0,532,1270,1109,32,1,6200
id_MzQ6QUI6OTU6NzE6QTE6MDA,1874,854,957,573,62,3,5061
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,19,655,763,378,438,6,5250
id_MzQ6QUI6OTU6NzE6QTQ6Nzg,6,95,202,1649,0,0,6076
id_MzQ6QUI6OTU6NzE6QTQ6ODg,0,80,62,27,1,0,4330
id_MzQ6QUI6OTU6NzE6QTQ6RjQ,1,456,1554,1364,55,0,6837
id_MzQ6QUI6OTU6NzE6QTU6MTQ,2,671,1164,989,60,1,5863
